,name,text,top3_description,top3_description_scibert
137,bf3ccae8d5b6ef58.json,Wolfgang Maier COVID-19: variation analysis on ARTIC PE (release v0.4) Paired Collection Input dataset collection NC_045512.2 FASTA sequence of SARS-CoV-2 Input dataset ARTIC primer BED Input dataset ARTIC primers to amplicon assignments Input dataset Read removal maximum AF Input parameter Read removal minimum AF Input parameter Minimum DP for amplicon bias correction Input parameter fastp output_paired_coll report_html report_json fastp Map with BWA-MEM bam_output bwa Samtools view outputsam samtools_view Samtools stats output samtools_stats Realign reads realigned lofreq_viterbi Insert indel qualities output lofreq_indelqual ivar trim output_bam ivar_trim Call variants variants lofreq_call QualiMap BamQC raw_data output_html qualimap_bamqc Lofreq filter outvcf lofreq_filter Flatten collection output ivar removereads output_bam ivar_removereads MultiQC stats plots html_report multiqc Call variants variants lofreq_call VCF-VCFintersect: out_file1 vcfvcfintersect Replace Text outfile text_processing VCF-VCFintersect: out_file1 vcfvcfintersect Replace Text outfile text_processing intervals transcripts SnpEff eff: snpeff_output statsFile snpeff_sars_cov_2 Lofreq filter outvcf lofreq_filter COVID-19 ARTIC covid19.galaxyproject.org runtime parameter for tool SnpEff eff: runtime parameter for tool SnpEff eff: Paired Collection NC_045512.2 FASTA sequence of SARS-CoV-2 ARTIC primer BED ARTIC primers to amplicon assignments Read removal maximum AF Read removal minimum AF Minimum DP for amplicon bias correction fastp_html_report fastp_json_report fastp_reads_output mapped_reads filtered_mapped_reads mapped_reads_stats realigned_primer_trimmed_filtered_mapped_reads realigned_primer_trimmed_filtered_mapped_reads_with_indel_quals primer_trimmed_filtered_mapped_reads preliminary_variants_1 bamqc_raw_output bamqc_html_output filtered_preliminary_variants bamqc_raw_output_flattened amplicon_removal_output preprocessing_and_mapping_reports preliminary_variants_2 lost_variants_tmp lost_variants variants variants_fixed_header SnpEff eff covid19 version annotated_variants_stats annotated_variants annotated_softfiltered_variants,"[1004, 363, 784]","[363, 1004, 552]"
138,45d37579deee182c.json,cuffmerge_cuffdiff_exam Cuffmerge merged_transcripts cuffmerge Cuffdiff isoforms_read_group genes_read_group cds_read_group tss_groups_read_group splicing_diff promoters_diff cds_diff cds_exp_fpkm_tracking cds_fpkm_tracking tss_groups_exp tss_groups_fpkm_tracking genes_exp genes_fpkm_tracking isoforms_exp isoforms_fpkm_tracking cuffdiff,"[452, 566, 424]","[452, 707, 187]"
139,dcf6f201b787d148.json,RNAseq: Reference-based by nekrut Condition 1 list of paired reads Input dataset collection Condition 2 list of paired reads Input dataset collection Reference Genome GFF/GTF Input dataset singlePaired TopHat align_summary insertions deletions junctions accepted_hits tophat2 singlePaired TopHat align_summary insertions deletions junctions accepted_hits tophat2 gfffile samfile htseq-count counts othercounts htseq_count gfffile samfile htseq-count counts othercounts htseq_count DESeq2 deseq_out plots deseq2 runtime parameter for tool TopHat runtime parameter for tool TopHat runtime parameter for tool htseq-count runtime parameter for tool htseq-count runtime parameter for tool htseq-count runtime parameter for tool htseq-count,"[39, 275, 184]","[664, 97, 39]"
140,1e53fcd07ae5d859.json,Workflow constructed from history 'Determine DNA polymorphic sites.' Coriell-NA12877_R1.fastq Input dataset Coriell-NA12877_R2.fastq Input dataset Coriell-NA12878_R1.fastq Input dataset Coriell-NA12878_R2.fastq Input dataset Coriell-NA12880_R1.fastq Input dataset Coriell-NA12880_R2.fastq Input dataset FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa AddOrReplaceReadGroups outFile picard AddOrReplaceReadGroups outFile picard AddOrReplaceReadGroups outFile picard MergeSamFiles outFile picard Filter out_file2 out_file1 bamtools_filter MarkDuplicates metrics_file outFile picard CleanSam outFile picard FreeBayes output_vcf freebayes VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter ANNOVAR Annotate VCF output table_annovar Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Group out_file1 Sort out_file1,"[674, 203, 255]","[255, 674, 194]"
141,b4dda054d2cf15b7.json,"imported: CloudMap Hawaiian Variant Mapping with WGS and Variant Calling workflow (no candidate genes)_single read Filtered mapping strain VCF (e.g. 103,346 Hawaiian SNPs) Input dataset Fasta reference genome Input dataset FASTQ reads (Sanger format) Input dataset Unfiltered mapping strain VCF (e.g. 112,061 Hawaiian SNPs) Input dataset Map with BWA for Illumina output bwa_wrappers FASTQ Summary Statistics output_file fastq_stats Filter SAM out_file1 sam_bitwise_flag_filter Boxplot output_file SAM-to-BAM output1 sam_to_bam toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0 gatk_realigner_target_creator gatk_indel_realigner toolshed.g2.bx.psu.edu/repos/devteam/picard/rgPicardMarkDups/1.56.0 gatk_unified_genotyper gatk_unified_genotyper gatk_unified_genotyper Create a BedGraph of genome coverage output bedtools gatk_depth_of_coverage gatk_variant_select SnpSift Filter output snpeff SnpSift Filter output snpeff Filter out_file1 CloudMap: Hawaiian Variant Mapping with WGS data output location_plot_output snp_mapping_using_wgs gatk_variant_select gatk_variant_select SnpEff output statsFile snpeff SnpEff output statsFile snpeff","[183, 236, 984]","[183, 236, 66]"
142,1e2e064c33b9c521.json,trial experiment Filter SAM out_file1 sam_bitwise_flag_filter Group out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Compare two Datasets out_file1 Compare two Datasets out_file1 Compare two Datasets out_file1 Sort out_file1 Sort out_file1 Sort out_file1 rna seq sam paired unique,"[919, 50, 908]","[919, 50, 762]"
143,42e44066338bdcdd.json,"GigaScience Example 1C -- aye-aye diversity (imported from uploaded file) aye-aye SAPs Input dataset aye-aye covered CDS intervals Input dataset aye-aye SNPs Input dataset human SAPs Input dataset human covered CDS intervals Input dataset human SNPs, like aye-aye Input dataset Specify Individuals output genome_diversity Specify Individuals output genome_diversity Nucleotide Diversity output genome_diversity Nucleotide Diversity output genome_diversity","[4, 623, 167]","[4, 120, 962]"
144,9755ee798b9c119b.json,"ChipSeq_tutorial_child1 Fastq input Collection Input dataset collection input_type Map with BWA bam_output bwa bed_file input1 Filter SAM or BAM, output SAM or BAM output1 samtool_filter2 advancedOpt bamInput bamCoverage outFileName deeptools_bam_coverage ChIPseq Tutorial runtime parameter for tool Map with BWA runtime parameter for tool Filter SAM or BAM, output SAM or BAM runtime parameter for tool Filter SAM or BAM, output SAM or BAM runtime parameter for tool bamCoverage runtime parameter for tool bamCoverage Fastq input Collection Filtered BAM bigWig out","[186, 891, 955]","[186, 47, 305]"
145,ab0ffa36361293da.json,Workflow constructed from history 'Galaxy 101' Exons Input dataset SNPs Input dataset bedtools Intersect intervals output bedtools Datamash out_file datamash_ops Sort out_file1 Select first out_file1 Compare two Datasets out_file1 Exons SNPs,"[812, 413, 325]","[812, 95, 413]"
146,199d1df1df160ad1.json,Bam to Fasta BAM to BED output bedtools MergeBED output bedtools GetFastaBed output bedtools,"[305, 458, 307]","[364, 704, 458]"
147,1e350f8ab5978571.json,Craig Leite Lab 10 Galaxy 101 Exons Input dataset Features Input dataset Join output join Group out_file1 Sort out_file1 lineNum Select first out_file1 Compare two Datasets out_file1 runtime parameter for tool Select first,"[418, 513, 871]","[418, 513, 631]"
148,0017c434354b6f6a.json,P38-1-op540 imported: CloudMap EMS Variant Density Mapping workflow (takes VCF of heterozygous and homozygous variants to subtract) Fasta reference genome Input dataset FASTQ reads Input dataset Candidate gene list (e.g. transcription factors) Input dataset VCF of background variants to subtract (contains heterozygous and homozygous variants) Input dataset FASTQ Summary Statistics output_file fastq_stats Map with BWA for Illumina output bwa_wrappers Boxplot output_file Filter SAM out_file1 sam_bitwise_flag_filter SAM-to-BAM output1 sam_to_bam picard_ARRG gatk_realigner_target_creator gatk_indel_realigner rgPicardMarkDups gatk_unified_genotyper gatk_unified_genotyper Create a BedGraph of genome coverage output bedtools gatk_depth_of_coverage SnpSift Filter output snpeff SnpSift Filter output snpeff Filter out_file1 gatk_variant_select SnpEff output statsFile snpeff SnpEff output statsFile snpeff CloudMap: EMS Variant Density Mapping output ems_variant_density_mapping CloudMap: Check snpEff Candidates output check_snpeff_candidates,"[294, 141, 66]","[294, 66, 141]"
149,d5514e327878b531.json,RNASeqAnalysisFromSRATwoSamples Input SRA WT Samples Input dataset Input SRA KO Samples Input dataset Input GTF of the Gene Desing Input dataset Input Gene Annotations File Input dataset cut_type_options delimiter input Advanced Cut output text_processing cut_type_options delimiter Advanced Cut output text_processing Select last outfile text_processing Select last outfile text_processing Download and Extract Reads in FASTA/Q list_paired output_collection sra_tools Download and Extract Reads in FASTA/Q list_paired output_collection sra_tools contaminants limits FastQC html_file text_file fastqc params Trim Galore! trimmed_reads_single report_file trim_galore params Trim Galore! trimmed_reads_single report_file trim_galore contaminants limits FastQC html_file text_file fastqc contaminants limits FastQC html_file text_file fastqc library reference_genome HISAT2 output_alignments summary_file hisat2 contaminants limits FastQC html_file text_file fastqc library reference_genome HISAT2 output_alignments summary_file hisat2 htseq-count counts othercounts htseq_count htseq-count counts othercounts htseq_count Column join tabular_output collection_column_join Column join tabular_output collection_column_join limma outTables outReport rscript libinfo limma_voom runtime parameter for tool Advanced Cut runtime parameter for tool Advanced Cut runtime parameter for tool Advanced Cut runtime parameter for tool Advanced Cut runtime parameter for tool Advanced Cut runtime parameter for tool FastQC runtime parameter for tool FastQC runtime parameter for tool Trim Galore! runtime parameter for tool Trim Galore! runtime parameter for tool FastQC runtime parameter for tool FastQC runtime parameter for tool FastQC runtime parameter for tool FastQC runtime parameter for tool HISAT2 runtime parameter for tool HISAT2 runtime parameter for tool FastQC runtime parameter for tool FastQC runtime parameter for tool HISAT2 runtime parameter for tool HISAT2 Input SRA WT Samples Input SRA KO Samples Input GTF of the Gene Desing Input Gene Annotations File Select SRR Accesion Column WT Select SRR Accesion Column KO RemoveHeaderFromSRR_WT RemoveHeaderFromSRR_KO Download Fastq Files WT Collection of Raw WT SE Fastqs Download Fastq Files KO Collection of Raw WT SE Fastq FastQC Of Raw Reads WT Trim Fastq Files WT Processed  WT Trim-Galore Report Trim Fastq Files KO Processed Reads KO FastQC Of Raw Reads KO FastQC of Processed Reads WT FastQC Processed: webpage  Alignment of Processed Reads WT Alignment Summary FastQC of Processed Reads KO  Alignment of Processed Reads KO Aligned Reads KO Count Gene Expression WT Gene Counts WT Count Gene Expression KO Gene Counts K Generate Matrix of WT Gene Counts Gene Counts Matrix WT Generate Matrix of KO Gene Counts Gene Counts Matrix KO Define the Differential Expression Test Limma DE Analysis Script Limma DE Analysis Limma DE Analysis Report Limma Library Information,"[756, 675, 839]","[756, 839, 715]"
150,d7049965ca7d8ea9.json,"Workflow constructed from history ''Bioinformatics2_AB05689'' annotation.bed Input dataset NGS0001.R1.fastq.qz Input dataset NGS0001.R2.fastq.qz Input dataset FastQC html_file text_file fastqc FastQC html_file text_file fastqc Trimmomatic fastq_out_r1_paired fastq_out_r2_paired fastq_out_r1_unpaired fastq_out_r2_unpaired trimmomatic FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa MarkDuplicates metrics_file outFile picard Filter SAM or BAM, output SAM or BAM output1 samtool_filter2 Samtools flagstat output1 samtools_flagstat Samtools flagstat output1 samtools_flagstat BAM-to-SAM output1 bam_to_sam Samtools idxstats output samtools_idxstats CollectInsertSizeMetrics outFile histFile picard Compute both the depth and breadth of coverage output bedtools FreeBayes output_vcf freebayes Sort out_file1 VCFfilter: out_file1 vcffilter Summary Statistics out_file1 ANNOVAR Annotate VCF output table_annovar Filter out_file1 Filter out_file1","[86, 289, 293]","[293, 289, 356]"
151,ea105a8775a56837.json,SNP calling on paired end data - v2 Reference genome Input dataset library library reference_genome Bowtie2 output bowtie2 inputFile SortSam outFile picard input1 RmDup output1 samtools_rmdup toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4 toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6 toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6 runtime parameter for tool Bowtie2 runtime parameter for tool Bowtie2 runtime parameter for tool Bowtie2 runtime parameter for tool SortSam runtime parameter for tool RmDup,"[23, 800, 223]","[23, 223, 800]"
152,0292971d1a87abba.json,fastq2count P1 fastq Input dataset P2 fastq Input dataset mm10_gff Input dataset HISAT output_alignments hisat2 gfffile samfile htseq-count counts othercounts htseq_count asbmr2016 runtime parameter for tool htseq-count runtime parameter for tool htseq-count P1 fastq P2 fastq mm10 annotation,"[941, 139, 39]","[39, 124, 247]"
153,ea3257e0ef9f505a.json,"Workflow constructed from history 'Clustering 3K PBMCs with Scanpy' Add mitochondrial gene annotation-Pasted entry Input dataset barcodes.tsv Input dataset genes.tsv Input dataset matrix.mtx Input dataset Import Anndata and loom anndata anndata_import Filter anndata_out scanpy_filter Inspect AnnData X anndata_inspect Inspect AnnData general anndata_inspect Inspect AnnData obs anndata_inspect Inspect AnnData var anndata_inspect Inspect AnnData var anndata_inspect Text reformatting outfile text_processing Filter out_file1 Replace Text outfile text_processing Select last outfile text_processing Cut out_file1 Concatenate datasets out_file1 text_processing Manipulate AnnData anndata anndata_manipulate Inspect and manipulate anndata_out scanpy_inspect Inspect AnnData var anndata_inspect Filter anndata_out scanpy_filter Plot out_png scanpy_plot Plot out_png scanpy_plot Plot out_png scanpy_plot Filter anndata_out scanpy_filter Manipulate AnnData anndata anndata_manipulate Normalize anndata_out scanpy_normalize Inspect AnnData general anndata_inspect Inspect AnnData var anndata_inspect Inspect and manipulate anndata_out scanpy_inspect Inspect AnnData obs anndata_inspect Inspect AnnData obs anndata_inspect Manipulate AnnData anndata anndata_manipulate Inspect AnnData var anndata_inspect Filter anndata_out scanpy_filter Manipulate AnnData anndata anndata_manipulate Plot out_png scanpy_plot Inspect AnnData var anndata_inspect Remove confounders anndata_out scanpy_remove_confounders Inspect AnnData general anndata_inspect Inspect and manipulate anndata_out scanpy_inspect Cluster, infer trajectories and embed anndata_out scanpy_cluster_reduce_dimension Plot out_png scanpy_plot Plot out_png scanpy_plot Plot out_png scanpy_plot Inspect and manipulate anndata_out scanpy_inspect Plot out_png scanpy_plot Cluster, infer trajectories and embed anndata_out scanpy_cluster_reduce_dimension Inspect AnnData uns_neighbors_connectivities uns_neighbors_distances anndata_inspect Inspect AnnData obs anndata_inspect Inspect AnnData general anndata_inspect Cluster, infer trajectories and embed anndata_out scanpy_cluster_reduce_dimension Inspect AnnData obsm_X_umap anndata_inspect Plot out_png scanpy_plot Inspect and manipulate anndata_out scanpy_inspect Inspect AnnData general anndata_inspect Inspect and manipulate anndata_out scanpy_inspect Inspect AnnData obs anndata_inspect Inspect and manipulate anndata_out scanpy_inspect Plot out_png scanpy_plot Plot out_png scanpy_plot Plot out_png scanpy_plot Plot out_png scanpy_plot Manipulate AnnData anndata anndata_manipulate Plot out_png scanpy_plot Plot out_png scanpy_plot Plot out_png scanpy_plot Inspect and manipulate anndata_out scanpy_inspect Inspect AnnData uns_rank_genes_groups_names uns_rank_genes_groups_scores uns_rank_genes_groups_logfoldchanges uns_rank_genes_groups_pvals uns_rank_genes_groups_pvals_adj anndata_inspect Inspect AnnData uns_rank_genes_groups_names uns_rank_genes_groups_scores uns_rank_genes_groups_logfoldchanges uns_rank_genes_groups_pvals uns_rank_genes_groups_pvals_adj anndata_inspect Plot out_png scanpy_plot Inspect AnnData general anndata_inspect Plot out_png scanpy_plot Plot out_png scanpy_plot Plot out_png scanpy_plot Plot out_png scanpy_plot Inspect AnnData obs anndata_inspect Plot out_png scanpy_plot Plot collection_png scanpy_plot Single_Cell Scanpy Add mitochondrial gene annotation-Pasted entry barcodes.tsv genes.tsv matrix.mtx Quality control-Filter Check the full data matrix Check the general information Check \ Check \ Extract gene annotation-Inspect Anndata Add mitochondrial gene annotation- Add mitochondrial gene annotation-Replace Text Add mitochondrial gene annotation-Select last Add mitochondrial gene annotation-Cut Add mitochondrial gene annotation-Concatenate datasets Add mitochondrial gene annotation-Manipulate Anndata  Compute QC metrics-Inspect and manipulate Remove low-quality cells- Filter(Based on the plot) Visualize QC metrics-Plot(n_genes_by_counts; total_counts; pct_counts_mito) Visualize QC metrics-Plot(The relationship between the cell size and the number of expressed genes) Visualize QC metrics-Plot(The relationship between the percentage of mitochondrial genes and the number of expressed genes) Remove low-quality cells- Filter Remove low-quality cells-Manipulate anndata(the mitochondrial genome The cell size normalization-Normalize with scanpy Log-transformation-Inspect and manipulate Freeze the state of the AnnData object-Manipulate AnnData Identify the highly variable genes-Filter Keep the highly variable genes-Manipulate Anndata Scaling the data-Remove confounders Scaling the data-Inspect and manipulate Perform the PCA-Cluster,infer trajectories and embed with scanpy  Generate an Elbow plot-Plot with scanpy Computation of a neighborhood graph-Cluster, infer trajectories and embed with scanpy (Galaxy Version 1.7.1+galaxy0)  UMAP-Cluster, infer trajectories and embed with scanpy (Galaxy Version 1.7.1+galaxy0) Finding marker genes-Inspect and manipulate with scanpy (Galaxy Version 1.7.1+galaxy0) Clustering of the neighborhood graph-Inspect and manipulate with scanpy (Galaxy Version 1.7.1+galaxy0 Finding marker genes-nspect and manipulate with scanpy (Galaxy Version 1.7.1+galaxy0) Add the cell type as cluster names-Manipulate AnnData object (Galaxy Version 0.7.5+galaxy0)","[588, 491, 740]","[477, 178, 155]"
154,fae519dcba6bfc72.json,"Data Handling Assessment NGS0001.R1.fastq.qz Input dataset NGS0001.R2.fastq.qz Input dataset annotation.bed Input dataset SnpEff eff: snpeff_output statsFile csvFile snpeff FastQC html_file text_file fastqc FastQC html_file text_file fastqc Trimmomatic fastq_out_r1_paired fastq_out_r2_paired fastq_out_r1_unpaired fastq_out_r2_unpaired trimmomatic FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa Map with BWA-MEM bam_output bwa MarkDuplicates metrics_file outFile picard Filter SAM or BAM, output SAM or BAM output1 samtool_filter2 Samtools flagstat output1 samtools_flagstat Flagstat output1 samtools_flagstat Samtools flagstat output1 samtools_flagstat BAM-to-SAM output1 bam_to_sam Samtools idxstats output samtools_idxstats CollectInsertSizeMetrics outFile histFile picard Compute both the depth and breadth of coverage output bedtools FreeBayes output_vcf freebayes Flagstat output1 samtools_flagstat Call variants variants lofreq_call FreeBayes output_vcf freebayes Sort out_file1 VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter VCFtoTab-delimited: out_file1 vcf2tsv SnpSift Extract Fields output snpsift VCFfilter: out_file1 vcffilter Summary Statistics out_file1 ANNOVAR Annotate VCF output table_annovar VCFsort: out_file1 vcfsort Compute both the depth and breadth of coverage output bedtools VCFtoTab-delimited: out_file1 vcf2tsv VCFtoTab-delimited: out_file1 vcf2tsv Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 NGS0001.R1.fastq.qz NGS0001.R2.fastq.qz annotation.bed","[358, 701, 25]","[358, 701, 658]"
155,2967ef82911f2cca.json,COVID-19: variation analysis reporting Number of Clusters Input parameter gene products translations Input dataset Variation data to report Input dataset collection AF Filter Input parameter DP Filter Input parameter DP_ALT Filter Input parameter Compose text parameter value out1 compose_text_param Compose text parameter value out1 compose_text_param SnpSift Filter output snpsift SnpSift Extract Fields output snpsift Replace column outfile_replace replace_column_by_key_value_file Datamash out_file datamash_ops Replace outfile text_processing Replace outfile text_processing Collapse Collection output collapse_collections Compute out_file1 column_maker Compute out_file1 column_maker Replace outfile text_processing Datamash out_file datamash_ops Filter out_file1 Datamash out_file datamash_ops Datamash out_file datamash_ops Datamash out_file datamash_ops Join output text_processing Join output text_processing Join output text_processing Datamash out_file datamash_ops Join output text_processing Cut out_file1 Cut out_file1 Cut out_file1 Select last outfile text_processing Select first outfile text_processing Replace outfile text_processing Sort outfile text_processing Split file split_output split_file_on_column Sort outfile text_processing Concatenate datasets out_file1 sinputs Variant Frequency Plot outfile snpfreqplot COVID-19 covid19.galaxyproject.org runtime parameter for tool Variant Frequency Plot Number of Clusters gene products translations Variation data to report AF Filter DP Filter DP_ALT Filter filtered_variants filtered_extracted_variants filtered_and_renamed_effects collapsed_effects highest_impact_effects processed_variants_collection combined_variant_report variants_for_plotting by_variant_report variants_for_plotting_with_header variant_frequency_plot,"[719, 407, 937]","[719, 848, 407]"
156,07e4414905458c86.json,Workflow - 'BINF' UCSC Main on D. melanogaster: refGene (genome) Input dataset ENCFF903CHR Input dataset ENCFF313ONJ Input dataset FastQC html_file text_file fastqc Cutadapt out1 report cutadapt FastQC html_file text_file fastqc Cutadapt out1 report cutadapt TopHat align_summary insertions deletions junctions accepted_hits tophat2 TopHat align_summary insertions deletions junctions accepted_hits tophat2 Cufflinks genes_expression transcripts_expression assembled_isoforms total_map_mass skipped cufflinks Cufflinks genes_expression transcripts_expression assembled_isoforms total_map_mass skipped cufflinks Cuffmerge merged_transcripts cuffmerge Cuffdiff splicing_diff promoters_diff cds_diff cds_exp_fpkm_tracking cds_fpkm_tracking tss_groups_exp tss_groups_fpkm_tracking genes_exp genes_fpkm_tracking isoforms_exp isoforms_fpkm_tracking cuffdiff Filter out_file1 UCSC Main on D. melanogaster: refGene (genome) ENCFF903CHR ENCFF313ONJ,"[783, 779, 573]","[783, 779, 748]"
157,470b41d0e43bb46b.json,Coursera Final Project Father R1 Input dataset Father R2 Input dataset Mother R1 Input dataset Mother R2 Input dataset Daughter R1 Input dataset Daughter R2 Input dataset FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa AddOrReplaceReadGroups outFile picard AddOrReplaceReadGroups outFile picard AddOrReplaceReadGroups outFile picard toolshed.g2.bx.psu.edu/repos/devteam/sam_merge/sam_merge2/1.2.0 Filter out_file2 out_file1 bamtools_filter MarkDuplicates metrics_file outFile picard CleanSam outFile picard FreeBayes output_vcf freebayes VCFfilter: out_file1 vcffilter input1 VCFfilter: out_file1 vcffilter input1 VCFfilter: out_file1 vcffilter input1 VCFfilter: out_file1 vcffilter input1 VCFfilter: out_file1 vcffilter input1 VCFfilter: out_file1 vcffilter SnpEff eff: snpeff_output statsFile snpeff SnpSift Extract Fields output snpsift Remove beginning out_file1 Group out_file1 infile Sort outfile text_processing runtime parameter for tool VCFfilter: runtime parameter for tool VCFfilter: runtime parameter for tool VCFfilter: runtime parameter for tool VCFfilter: runtime parameter for tool VCFfilter: runtime parameter for tool Sort Father R1 Father R2 Mother R1 Mother R2 Daughter R1 Daughter R2 Question 1 Question 2 (2) Question 2 (1) Question 3 Question 4 Question 5,"[628, 440, 203]","[628, 440, 203]"
158,53f11afc67ffb66f.json,'Coursera_Assignment' Input Dataset Input dataset Input Dataset Input dataset Input Dataset Input dataset Input Dataset Input dataset Input Dataset Input dataset Input Dataset Input dataset FASTQ Groomer output_file fastq_groomer FASTQ Groomer output_file fastq_groomer FASTQ Groomer output_file fastq_groomer FASTQ Groomer output_file fastq_groomer FASTQ Groomer output_file fastq_groomer FASTQ Groomer output_file fastq_groomer Bowtie2 output bowtie2 Bowtie2 output bowtie2 Bowtie2 output bowtie2 AddOrReplaceReadGroups outFile picard AddOrReplaceReadGroups outFile picard AddOrReplaceReadGroups outFile picard MergeSamFiles outFile picard FreeBayes output_vcf freebayes VCFfilter: out_file1 vcffilter ANNOVAR Annotate VCF output table_annovar VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter Group out_file1 Sort out_file1,"[237, 557, 22]","[237, 999, 862]"
159,fdfe38dc92e51611.json,Convert GFF to bedGraph Cut out_file1 Compute out_file1 column_maker Cut out_file1 bedGraph GFF,"[816, 856, 318]","[200, 75, 350]"
160,24adb067c82862fa.json,Workflow 1: Tratamiento inicial de dato Datos crudos Input dataset FASTQ Groomer output_file fastq_groomer FASTQ Summary Statistics output_file fastq_stats FastQC html_file text_file fastqc Boxplot output_file,"[321, 89, 5]","[321, 89, 857]"
161,57165345b898b978.json,RSeQC Input 1 Input dataset Input 2 Input dataset Input 3 Input dataset Input 4 Input dataset Input 5 Input dataset Input 6 Input dataset Read Duplication outputpdf outputxls outputseqxls rseqc input Read Duplication outputpdf outputxls outputseqxls rseqc input Read Duplication outputpdf outputxls outputseqxls rseqc input Read Duplication outputpdf outputxls outputseqxls rseqc input Read Duplication outputpdf outputxls outputseqxls rseqc Read Duplication outputpdf outputxls outputseqxls rseqc runtime parameter for tool Read Duplication runtime parameter for tool Read Duplication runtime parameter for tool Read Duplication runtime parameter for tool Read Duplication Input 1 Input 2 Input 3 Input 4 Input 5 Input 6 RSeQC output 1 RSeQC output 2 RSeQC output 3 RSeQC output 4 RSeQC output 5 RSeQC output 6,"[621, 780, 512]","[270, 349, 731]"
162,f14121a9358dffdb.json,Question1Workflow hs_5q31_exons(2)(1).bed Input dataset hs_5q31_cpg(2)(1).bed Input dataset bedtools Intersect intervals output bedtools bedtools Intersect intervals output bedtools bedtools Intersect intervals output bedtools bedtools Intersect intervals output bedtools hs_5q31_exons(2)(1).bed hs_5q31_cpg(2)(1).bed,"[131, 808, 544]","[867, 92, 655]"
163,899db1fa0c09130a.json,Workflow constructed from history 'TRIAL' Input Dataset Input dataset Input Dataset Input dataset Gene BED To Exon/Intron/Codon BED out_file1 Join output join Group out_file1 Join two Datasets out_file1 Compute out_file1 column_maker Sort out_file1,"[339, 551, 484]","[339, 551, 871]"
164,6dcb43f86b9cd7dc.json,Lucille Delisle Get Confident Peaks From ChIP_PE duplicates (release v0.1) 2 rmDup BAMPE Input dataset collection effective_genome_size Input parameter bin_size Input parameter Samtools view outputcnt samtools_view MACS2 callpeak output_tabular output_narrowpeaks output_treat_pileup output_control_lambda macs2 Collapse Collection output collapse_collections Extract dataset output Extract dataset output Wig/BedGraph-to-bigWig out_file1 Table Compute table table_compute bedtools Intersect intervals output bedtools advancedOpt bigwigs bigwigAverage outFileName deeptools_bigwig_average Parse parameter value integer_param Samtools view outputsam samtools_view MACS2 callpeak output_tabular output_narrowpeaks macs2 MultiQC stats html_report multiqc bedtools Intersect intervals output bedtools Filter out_file1 Cut out_file1 Unique outfile text_processing ChIP runtime parameter for tool bigwigAverage runtime parameter for tool bigwigAverage 2 rmDup BAMPE effective_genome_size bin_size count number of reads call peaks individually individual_macs2_narrowPeaks put all nb of reads into single dataset get first narrowPeak get second narrowPeak individual normalized bigwig get min value strict overlap between peaks of both replicates strict_intersect_peaks average coverage from both replicates average_bigwig convert min nb of reads to parameter downsample BAM call peaks on merge merged_macs2_narrowPeaks multiQC multiqc_output get merged peaks overlapping both replicates only keep peaks with summits overlapping intersection of both replicates keep only columns of narrowPeak discard duplicated lines shared_narrowPeak,"[817, 846, 914]","[817, 846, 87]"
